scenario,method,gar_capacity_mean,gar_capacity_std,unallocated_mean,success_rate_mean,avg_sigma_gpu_util_mean,avg_wait_time_ms_mean,final_full_free_gpu_count_mean,infeasible_action_count_mean
high_load,rl_full,0.6730392922295464,0.0,0.3269607077704536,0.4971788194444444,0.20656447045540619,0.0,11.0,0.0
high_load,random,0.6748498153686523,0.0014456563177120377,0.32515018463134765,0.5223958333333333,0.10619869412015154,0.0,2.4,0.0
high_load,best_fit,0.676588380601671,0.0,0.32341161939832896,0.5069444444444444,0.20433399482135428,0.0,7.0,0.0
high_load,dot_product,0.6799109480116102,0.0,0.32008905198838977,0.5173611111111112,0.11789481382260823,0.0,2.0,0.0
high_load,gpu_packing,0.6787819332546657,0.0,0.32121806674533426,0.5069444444444444,0.19719807140306025,0.0,3.0,0.0
high_load,gpu_clustering,0.6744091415405273,0.0,0.32559085845947267,0.5017361111111112,0.20536047866254295,0.0,9.0,0.0
high_load,fgd,0.6758838229709202,0.0,0.3241161770290798,0.5138888888888888,0.16516267877159407,0.0,7.0,0.0
