step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928,90,1,scheduled,-0.5204703711929266,1.0,-1.5151515151515138,-0.0053188560414128006,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0028907256200909615,0.0012538590235635638,0.006493127439171076,0.0,12692206.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,openb-pod-6929,29,1,scheduled,-0.5216809547414538,1.0,-1.5151515151515138,-0.0065294395899400115,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.002890725387260318,0.0012538591399788857,0.00891429465264082,0.0,12692300.0,590.0,590.0,0.0,0.0,1.0,0.0006584821428571428,0.9993415178571429
2,2,openb-pod-6930,107,1,scheduled,-0.5237790732785594,1.0,-1.5151515151515138,-0.008627558127045631,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.002751325024291873,0.003498491132631898,0.011005300097167492,0.0,12692613.0,1400.0,1400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0015625,0.9984375
3,3,openb-pod-6931,44,1,scheduled,-0.5340142776399386,1.0,-1.5151515151515138,-0.018862762488424778,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.010701366700232029,0.011521709151566029,0.015502449125051498,0.0,12692705.0,2400.0,2400.0,2000.0,0.002232142857142857,0.9977678571428571,0.0026785714285714286,0.9973214285714286
4,4,openb-pod-6932,90,1,scheduled,-0.537398956264509,1.0,-1.5151515151515138,-0.022247441112995148,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00017755681818181802,0.011985905468463898,0.013597926124930382,0.018911050632596016,0.0,12692800.0,3400.0,3400.0,3000.0,0.0033482142857142855,0.9966517857142857,0.003794642857142857,0.9962053571428572
5,5,openb-pod-6933,61,1,scheduled,-0.5462866095035803,1.0,-1.5151515151515138,-0.031135094352066517,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00023674242424242403,0.020808732137084007,0.019712377339601517,0.02174907922744751,0.0,12693008.0,4400.0,4400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.004910714285714286,0.9950892857142857
6,6,openb-pod-6934,25,1,scheduled,-0.5307745514578652,1.0,-1.5151515151515138,-0.015623036306351423,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.009136357344686985,0.009986396878957748,0.012123318389058113,0.0,12693782.0,5400.0,5400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0060267857142857146,0.9939732142857143
7,7,openb-pod-6935,124,1,scheduled,-0.5337083381741774,1.0,-1.5151515151515138,-0.018556823022663593,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.012190137058496475,0.012800190597772598,0.012123318389058113,0.0,12693978.0,5870.0,5870.0,1000.0,0.0011160714285714285,0.9988839285714286,0.006551339285714285,0.9934486607142857
8,8,openb-pod-6936,75,1,scheduled,-0.5290200561426115,1.0,-1.5151515151515138,-0.013868540991097689,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.006195559166371822,0.007433499209582806,0.01410802360624075,0.0,12694520.0,6340.0,6340.0,1810.0,0.0020200892857142856,0.9979799107142857,0.007075892857142857,0.9929241071428572
9,9,openb-pod-6937,34,1,scheduled,-0.5306216937165242,1.0,-1.5151515151515138,-0.015470178565010428,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00017755681818181802,0.006808755453675985,0.007527247071266174,0.016604354605078697,0.0,12694521.0,7150.0,7150.0,2620.0,0.002924107142857143,0.9970758928571428,0.007979910714285714,0.9920200892857143
