step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928,25,1,scheduled,-0.5204703713675496,1.0,-1.5151515151515138,-0.005318856216035783,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.002890725387260318,0.0012538591399788857,0.006493127904832363,0.0,12692206.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,1,openb-pod-6929,102,1,scheduled,-0.5216809543340002,1.0,-1.5151515151515138,-0.006529439182486385,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0028907256200909615,0.0012538590235635638,0.008914293721318245,0.0,12692300.0,590.0,590.0,0.0,0.0,1.0,0.0006584821428571428,0.9993415178571429
2,2,openb-pod-6930,89,1,scheduled,-0.5259868730932009,1.0,-1.5151515151515138,-0.010835357941687107,0.0,0.0,0.007575757575757569,0.007575757575757569,5.918560606060601e-05,0.0036684335209429264,0.006996982265263796,0.011005300097167492,0.0,12692613.0,1400.0,1400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0015625,0.9984375
3,3,openb-pod-6931,65,1,scheduled,-0.5348831722653937,1.0,-1.5151515151515138,-0.01973165711387992,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.010966184549033642,0.012994680553674698,0.015502449125051498,0.0,12692705.0,2400.0,2400.0,2000.0,0.002232142857142857,0.9977678571428571,0.0026785714285714286,0.9973214285714286
4,4,openb-pod-6932,64,1,scheduled,-0.5381433726429474,1.0,-1.5151515151515138,-0.02299185749143362,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00017755681818181802,0.012219673953950405,0.01485299039632082,0.018911050632596016,0.0,12692800.0,3400.0,3400.0,3000.0,0.0033482142857142855,0.9966517857142857,0.003794642857142857,0.9962053571428572
5,5,openb-pod-6933,112,1,scheduled,-0.5467846584647429,1.0,-1.5151515151515138,-0.031633143313229084,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00023674242424242403,0.020938340574502945,0.020578866824507713,0.02174907922744751,0.0,12693008.0,4400.0,4400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.004910714285714286,0.9950892857142857
6,6,openb-pod-6934,25,1,scheduled,-0.5307745509922039,1.0,-1.5151515151515138,-0.015623035840690136,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.009136357344686985,0.009986395947635174,0.012123318389058113,0.0,12693782.0,5400.0,5400.0,1000.0,0.0011160714285714285,0.9988839285714286,0.0060267857142857146,0.9939732142857143
7,7,openb-pod-6935,94,1,scheduled,-0.5337083386398387,1.0,-1.5151515151515138,-0.01855682348832488,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.01219013798981905,0.012800190597772598,0.012123318389058113,0.0,12693978.0,5870.0,5870.0,1000.0,0.0011160714285714285,0.9988839285714286,0.006551339285714285,0.9934486607142857
8,8,openb-pod-6936,38,1,scheduled,-0.5290200566082728,1.0,-1.5151515151515138,-0.013868541456758976,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,0.006195559166371822,0.007433499209582806,0.014108024537563324,0.0,12694520.0,6340.0,6340.0,1810.0,0.0020200892857142856,0.9979799107142857,0.007075892857142857,0.9929241071428572
9,9,openb-pod-6937,26,1,scheduled,-0.5306216927852017,1.0,-1.5151515151515138,-0.015470177633687854,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00017755681818181802,0.006808755453675985,0.007527247071266174,0.016604352742433548,0.0,12694521.0,7150.0,7150.0,2620.0,0.002924107142857143,0.9970758928571428,0.007979910714285714,0.9920200892857143
10,10,openb-pod-6938,74,1,scheduled,-0.5336437109067571,1.0,-1.5151515151515138,-0.0184921957552433,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00023674242424242403,0.00994409341365099,0.010113758035004139,0.016926540061831474,0.0,12694527.0,7960.0,7960.0,2940.0,0.00328125,0.99671875,0.008883928571428572,0.9911160714285714
11,11,openb-pod-6939,124,1,scheduled,0.975883926730603,1.0,-0.0,-0.02411607326939702,0.0,0.0,0.0,0.0,0.00023674242424242403,0.015064635314047337,0.01624097116291523,0.016926540061831474,0.0,12694805.0,8280.0,8280.0,2940.0,0.00328125,0.99671875,0.009241071428571428,0.9907589285714286
12,12,openb-pod-6940,94,1,scheduled,0.9718642123043537,1.0,-0.0,-0.028135787695646286,0.0,0.0,0.0,0.0,0.00023674242424242403,0.018786482512950897,0.0205585528165102,0.016926540061831474,0.0,12694892.0,8280.0,8280.0,2940.0,0.00328125,0.99671875,0.009241071428571428,0.9907589285714286
13,13,openb-pod-6941,101,1,scheduled,-0.539729747935338,1.0,-1.5151515151515138,-0.024578232783824205,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00029592803030303004,0.014256385155022144,0.014849724248051643,0.020050356164574623,0.0,12695124.0,8280.0,8280.0,2130.0,0.0023772321428571427,0.9976227678571429,0.009241071428571428,0.9907589285714286
14,14,openb-pod-6942,96,1,scheduled,-0.5386069649971557,1.0,-1.5151515151515138,-0.02345544984564185,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00023674242424242403,0.014002716168761253,0.014814320020377636,0.018093863502144814,0.0,12695496.0,9280.0,9280.0,1810.0,0.0020200892857142856,0.9979799107142857,0.010357142857142856,0.9896428571428572
15,15,openb-pod-6943,100,1,scheduled,0.9790709372609854,1.0,-0.0,-0.020929062739014626,0.0,0.0,0.0,0.0,0.00011837121212121202,0.012972649186849594,0.014777451753616333,0.014108024537563324,0.0,12695902.0,10280.0,10280.0,1810.0,0.0020200892857142856,0.9979799107142857,0.011473214285714286,0.9885267857142858
16,16,openb-pod-6944,73,1,scheduled,-0.5414646393760574,1.0,-1.5151515151515138,-0.02631312422454357,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00017755681818181802,0.016505979001522064,0.01832418143749237,0.017796088010072708,0.0,12696072.0,10280.0,10280.0,2810.0,0.003136160714285714,0.9968638392857143,0.011473214285714286,0.9885267857142858
17,17,openb-pod-6945,16,1,scheduled,0.9721857747063041,1.0,-0.0,-0.027814225293695927,0.0,0.0,0.0,0.0,0.00017755681818181802,0.018500789999961853,0.019331572577357292,0.017796088010072708,0.0,12696455.0,11280.0,11280.0,2810.0,0.003136160714285714,0.9968638392857143,0.012589285714285714,0.9874107142857143
18,18,openb-pod-6946,110,1,scheduled,-0.5440639858275187,1.0,-1.5151515151515138,-0.028912470676004887,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00023674242424242403,0.01867801882326603,0.01935238018631935,0.019794542342424393,0.0,12696716.0,11280.0,11280.0,3620.0,0.004040178571428571,0.9959598214285714,0.012589285714285714,0.9874107142857143
19,19,openb-pod-6947,57,1,scheduled,0.9677067073062062,1.0,-0.0,-0.032293292693793774,0.0,0.0,0.0,0.0,0.00023674242424242403,0.021743008866906166,0.02304903417825699,0.019794542342424393,0.0,12696859.0,12090.0,12090.0,2620.0,0.002924107142857143,0.9970758928571428,0.013493303571428571,0.9865066964285715
20,20,openb-pod-6948,64,1,scheduled,0.9653986012563109,1.0,-0.0,-0.03460139874368906,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00017755681818181802,0.02496386505663395,0.027634579688310623,0.016604352742433548,0.0,12696934.0,12090.0,12090.0,2620.0,0.002924107142857143,0.9970758928571428,0.013493303571428571,0.9865066964285715
21,21,openb-pod-6949,57,1,scheduled,-0.556382444235636,1.0,-1.5151515151515138,-0.04123092908412218,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00023674242424242403,0.031392522156238556,0.03374563902616501,0.017323696985840797,0.0,12696992.0,12090.0,12090.0,3090.0,0.0034486607142857144,0.9965513392857143,0.013493303571428571,0.9865066964285715
22,22,openb-pod-6950,36,1,scheduled,-0.558288020561589,1.0,-1.5151515151515138,-0.04313650541007519,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00029592803030303004,0.03306879103183746,0.035201575607061386,0.018002644181251526,0.0,12696995.0,12560.0,12560.0,2750.0,0.0030691964285714285,0.9969308035714286,0.014017857142857143,0.9859821428571428
23,23,openb-pod-6951,119,1,scheduled,-0.5458547589510214,1.0,-1.5151515151515138,-0.030703243799507618,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00029592803030303004,0.02173611894249916,0.02166772447526455,0.018002644181251526,0.0,12697224.0,13030.0,13030.0,3560.0,0.003973214285714286,0.9960267857142857,0.014542410714285714,0.9854575892857143
24,24,openb-pod-6952,103,1,scheduled,-0.5486994418456685,1.0,-1.5151515151515138,-0.03354792669415474,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00035511363636363605,0.02389930747449398,0.022258024662733078,0.02093852125108242,0.0,12697262.0,13840.0,13840.0,4560.0,0.005089285714285715,0.9949107142857143,0.015446428571428571,0.9845535714285715
25,25,openb-pod-6953,88,1,scheduled,-0.5491949138372672,1.0,-1.5151515151515138,-0.034043398685753345,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00041429924242424206,0.024013333022594452,0.0222686305642128,0.02180483378469944,0.0,12697388.0,14840.0,14840.0,5150.0,0.0057477678571428575,0.9942522321428572,0.0165625,0.9834375
26,26,openb-pod-6954,61,1,scheduled,-0.5500464751526248,1.0,-1.5151515151515138,-0.03489496000111103,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00047348484848484806,0.024124089628458023,0.02227867767214775,0.023387152701616287,0.0,12697409.0,15430.0,15430.0,5960.0,0.006651785714285714,0.9933482142857143,0.017220982142857142,0.9827790178571428
27,27,openb-pod-6955,108,1,scheduled,-0.5508333244502079,1.0,-1.5151515151515138,-0.035681809298694134,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0005326704545454541,0.024231629446148872,0.022288164123892784,0.02484382502734661,0.0,12697409.0,16240.0,16240.0,4960.0,0.005535714285714285,0.9944642857142857,0.018125,0.981875
28,28,openb-pod-6956,77,1,scheduled,-0.5504387538089883,1.0,-1.5151515151515138,-0.03528723865747452,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00047348484848484806,0.024272680282592773,0.022914644330739975,0.023387152701616287,0.0,12697628.0,17050.0,17050.0,5370.0,0.005993303571428571,0.9940066964285714,0.019029017857142855,0.9809709821428572
29,29,openb-pod-6957,65,1,scheduled,-0.5557155120327604,1.0,-1.5151515151515138,-0.04056399688124657,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00047348484848484806,0.02934434823691845,0.026849426329135895,0.02493421919643879,0.0,12697699.0,18050.0,18050.0,6370.0,0.007109375,0.992890625,0.020145089285714287,0.9798549107142858
30,30,openb-pod-6958,66,1,scheduled,-0.556661034482671,1.0,-1.5151515151515138,-0.04150951933115721,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0005326704545454541,0.030094731599092484,0.027571599930524826,0.025352707132697105,0.0,12697711.0,19050.0,19050.0,6840.0,0.007633928571428571,0.9923660714285715,0.021261160714285715,0.9787388392857143
31,31,openb-pod-6959,41,1,scheduled,-0.5573602696090472,1.0,-1.5151515151515138,-0.04220875445753336,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0005918560606060601,0.030167529359459877,0.027573080733418465,0.026676898822188377,0.0,12698004.0,19520.0,19520.0,6650.0,0.007421875,0.992578125,0.021785714285714287,0.9782142857142857
32,32,openb-pod-6960,26,1,scheduled,-0.5572708412214649,1.0,-1.5151515151515138,-0.04211932606995106,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0005918560606060601,0.030352065339684486,0.02890624664723873,0.024980340152978897,0.0,12698115.0,20330.0,20330.0,7120.0,0.007946428571428571,0.9920535714285714,0.022689732142857143,0.9773102678571428
