step,pod_index,pod_name,action,scheduled,reason,reward_total,reward_success,reward_fragmentation,reward_balance,reward_utilization,reward_slo,frag_before,frag_after,frag_delta,cluster_fragmentation_avg,cluster_full_free_gpu_count,cluster_full_free_gpu_ratio,sigma_cpu_util,sigma_mem_util,sigma_gpu_util,wait_time_ms,current_time,episode_requested_gpu_milli,episode_allocated_gpu_milli,used_gpu_milli,gar_capacity_live,unallocated_gpu_fraction_capacity_live,gar_capacity_cumulative,unallocated_gpu_fraction_capacity_cumulative
0,0,openb-pod-6928__rep0,0,1,scheduled,-0.5216932862963528,1.0,-1.5151515151515138,-0.006541771144839004,0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.00011837121212121202,511.0,0.998046875,0.0030539820436388254,0.0008831148152239621,0.00914644543081522,0.0,12692206.0,0.0,0.0,590.0,0.00115234375,0.99884765625,0.0,1.0
1,1,openb-pod-6929__rep0,0,1,scheduled,0.9852111893123947,1.0,-0.0,-0.014788810687605292,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,510.0,0.99609375,0.006107964087277651,0.0017662296304479241,0.021703427657485008,0.0,12692300.0,590.0,590.0,1400.0,0.002734375,0.997265625,0.00115234375,0.99884765625
2,2,openb-pod-6930__rep0,0,1,scheduled,0.9730581094045192,1.0,-0.0,-0.0269418905954808,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,509.0,0.994140625,0.009983577765524387,0.006694324780255556,0.037205878645181656,0.0,12692613.0,1400.0,1400.0,2400.0,0.0046875,0.9953125,0.002734375,0.997265625
3,3,openb-pod-6931__rep0,0,1,scheduled,0.9559569708071649,1.0,-0.0,-0.04404302919283509,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.00011837121212121202,508.0,0.9921875,0.020932182669639587,0.014445551671087742,0.052708324044942856,0.0,12692705.0,2400.0,2400.0,3400.0,0.006640625,0.993359375,0.0046875,0.9953125
4,4,openb-pod-6932__rep0,0,1,scheduled,0.6970150480275619,1.0,-0.24570024570025328,-0.05728470627218485,0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.0001375665438165443,507.0,0.990234375,0.026745600625872612,0.019613031297922134,0.06821078062057495,0.0,12692800.0,3400.0,3400.0,4400.0,0.00859375,0.99140625,0.006640625,0.993359375
5,5,openb-pod-6933__rep0,0,1,scheduled,0.9208142124116421,1.0,-0.0,-0.07918578758835793,0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.0001375665438165443,506.0,0.98828125,0.044871844351291656,0.02978651225566864,0.08371321856975555,0.0,12693008.0,4400.0,4400.0,5400.0,0.010546875,0.989453125,0.00859375,0.99140625
6,6,openb-pod-6934__rep0,0,1,scheduled,0.5013888640089759,1.0,-0.40950040950040734,-0.0891107264906168,0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.00016955876330876363,505.0,0.986328125,0.052623067051172256,0.03459901362657547,0.09099937230348587,0.0,12693782.0,5400.0,5400.0,5870.0,0.01146484375,0.98853515625,0.010546875,0.989453125
7,7,openb-pod-6935__rep0,0,1,scheduled,0.897763205692172,1.0,-0.0,-0.10223679430782795,0.0,0.0,0.010851760851760872,0.010851760851760872,0.0,0.00016955876330876363,505.0,0.986328125,0.06416076421737671,0.04202727600932121,0.09828554838895798,0.0,12693978.0,5870.0,5870.0,6340.0,0.0123828125,0.9876171875,0.01146484375,0.98853515625
8,8,openb-pod-6936__rep0,0,1,scheduled,-174.21285892758186,1.0,-175.1023751023751,-0.11048382520675659,0.0,0.0,0.010851760851760872,0.8863636363636364,0.8755118755118755,0.013849431818181818,504.0,0.984375,0.06721474230289459,0.042910389602184296,0.1108425185084343,0.0,12694520.0,6340.0,6340.0,7150.0,0.01396484375,0.98603515625,0.0123828125,0.9876171875
9,9,openb-pod-6937__rep0,1,1,scheduled,-0.62591760746683,1.0,-1.5151515151515138,-0.1107660923153162,0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.01396780303030303,503.0,0.982421875,0.06727343797683716,0.04290546104311943,0.11135328561067581,0.0,12694521.0,7150.0,7150.0,7960.0,0.015546875,0.984453125,0.01396484375,0.98603515625
10,10,openb-pod-6938__rep0,0,1,scheduled,-18.28412553862066,1.0,-19.164619164619157,-0.11950637400150299,0.0,0.0,0.8863636363636364,0.9821867321867321,0.09582309582309578,0.015465038902538902,503.0,0.982421875,0.07501190900802612,0.04771704971790314,0.11628378927707672,0.0,12694527.0,7960.0,7960.0,8280.0,0.016171875,0.983828125,0.015546875,0.984453125
11,11,openb-pod-6941__rep0,1,1,scheduled,0.8779744934290648,1.0,-0.0,-0.12202550657093525,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.015465038902538902,502.0,0.98046875,0.07696777582168579,0.04836263880133629,0.11872059851884842,0.0,12695124.0,8280.0,8280.0,9280.0,0.018125,0.981875,0.016171875,0.983828125
12,12,openb-pod-6942__rep0,1,1,scheduled,0.872590059414506,1.0,-0.0,-0.12740994058549404,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.015465038902538902,501.0,0.978515625,0.08153218775987625,0.05021092668175697,0.12307676672935486,0.0,12695496.0,9280.0,9280.0,10280.0,0.020078125,0.979921875,0.018125,0.981875
13,13,openb-pod-6944__rep0,1,1,scheduled,0.864701796323061,1.0,-0.0,-0.135298203676939,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.015465038902538902,500.0,0.9765625,0.08830160647630692,0.053136542439460754,0.12915825843811035,0.0,12696072.0,10280.0,10280.0,11280.0,0.02203125,0.97796875,0.020078125,0.979921875
14,14,openb-pod-6946__rep0,1,1,scheduled,0.6146785188695061,1.0,-0.24570024570025328,-0.13962123543024063,0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.015484234234234234,499.0,0.974609375,0.09052008390426636,0.0535309761762619,0.135191410779953,0.0,12696716.0,11280.0,11280.0,12090.0,0.02361328125,0.97638671875,0.02203125,0.97796875
15,15,openb-pod-6949__rep0,1,1,scheduled,0.85183310136199,1.0,-0.0,-0.14816689863801003,0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.015484234234234234,498.0,0.97265625,0.09995961934328079,0.057281747460365295,0.13909243047237396,0.0,12696992.0,12090.0,12090.0,12560.0,0.02453125,0.97546875,0.02361328125,0.97638671875
16,16,openb-pod-6950__rep0,1,1,scheduled,0.8421499151736498,1.0,-0.0,-0.1578500848263502,0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.015484234234234234,498.0,0.97265625,0.11073969304561615,0.0617024265229702,0.14325805008411407,0.0,12696995.0,12560.0,12560.0,13030.0,0.02544921875,0.97455078125,0.02453125,0.97546875
17,17,openb-pod-6951__rep0,1,1,scheduled,0.42698454798598373,1.0,-0.40950040950040734,-0.16351504251360893,0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.015516226453726453,497.0,0.970703125,0.11377047747373581,0.062266066670417786,0.15099354088306427,0.0,12697224.0,13030.0,13030.0,13840.0,0.02703125,0.97296875,0.02544921875,0.97455078125
18,18,openb-pod-6952__rep0,1,1,scheduled,-193.4440003179386,1.0,-194.26699426699426,-0.1770060509443283,0.0,0.0,0.010851760851760872,0.9821867321867321,0.9713349713349713,0.03069333538083538,496.0,0.96875,0.12512259185314178,0.06750757992267609,0.16138193011283875,0.0,12697262.0,13840.0,13840.0,14840.0,0.028984375,0.971015625,0.02703125,0.97296875
19,19,openb-pod-6953__rep0,2,1,scheduled,-0.6921641598596704,1.0,-1.5151515151515138,-0.17701264470815659,0.0,0.0,0.0,0.007575757575757569,0.007575757575757569,0.03081170659295659,495.0,0.966796875,0.12509775161743164,0.06749337911605835,0.16143415868282318,0.0,12697388.0,14840.0,14840.0,15430.0,0.03013671875,0.96986328125,0.028984375,0.971015625
20,20,openb-pod-6954__rep0,2,1,scheduled,0.8224782571196556,1.0,-0.0,-0.1775217428803444,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.03081170659295659,494.0,0.96484375,0.12520542740821838,0.06749071180820465,0.16234734654426575,0.0,12697409.0,15430.0,15430.0,16240.0,0.03171875,0.96828125,0.03013671875,0.96986328125
21,21,openb-pod-6955__rep0,2,1,scheduled,0.8214183561503887,1.0,-0.0,-0.17858164384961128,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.03081170659295659,493.0,0.962890625,0.12544523179531097,0.06749963015317917,0.16421842575073242,0.0,12697409.0,16240.0,16240.0,17050.0,0.03330078125,0.96669921875,0.03171875,0.96828125
22,22,openb-pod-6956__rep0,2,1,scheduled,0.8183763660490513,1.0,-0.0,-0.18162363395094872,0.0,0.0,0.007575757575757569,0.007575757575757569,0.0,0.03081170659295659,492.0,0.9609375,0.12737563252449036,0.06807105988264084,0.16780057549476624,0.0,12697628.0,17050.0,17050.0,18050.0,0.03525390625,0.96474609375,0.03330078125,0.96669921875
23,23,openb-pod-6957__rep0,2,1,scheduled,0.5658589136084187,1.0,-0.24570024570025328,-0.18844084069132805,0.0,0.0,0.007575757575757569,0.008804258804258835,0.0012285012285012664,0.030830901924651925,491.0,0.958984375,0.13405022025108337,0.07012639194726944,0.17270506918430328,0.0,12697699.0,18050.0,18050.0,19050.0,0.03720703125,0.96279296875,0.03525390625,0.96474609375
24,24,openb-pod-6958__rep0,2,1,scheduled,0.8074388951063156,1.0,-0.0,-0.1925611048936844,0.0,0.0,0.008804258804258835,0.008804258804258835,0.0,0.030830901924651925,490.0,0.95703125,0.1381022036075592,0.07158346474170685,0.17543654143810272,0.0,12697711.0,19050.0,19050.0,19520.0,0.038125,0.961875,0.03720703125,0.96279296875
25,25,openb-pod-6959__rep0,2,1,scheduled,0.39425145031352127,1.0,-0.40950040950040734,-0.1962481401860714,0.0,0.0,0.008804258804258835,0.010851760851760872,0.0020475020475020367,0.030862894144144143,489.0,0.955078125,0.13987624645233154,0.07188264280557632,0.18073739111423492,0.0,12698004.0,19520.0,19520.0,20330.0,0.03970703125,0.96029296875,0.038125,0.961875
26,26,openb-pod-6960__rep0,2,1,scheduled,0.7968475259840488,1.0,-0.0,-0.20315247401595116,0.0,0.0,0.010851760851760872,0.010851760851760872,0.0,0.030862894144144143,489.0,0.955078125,0.14740337431430817,0.07476546615362167,0.18413610756397247,0.0,12698115.0,20330.0,20330.0,20800.0,0.040625,0.959375,0.03970703125,0.96029296875
